state_ut,district,rape,arson,cruelty_by_husband_or_his_relatives,robbery,culpable_homicide_not_amounting_to_murder,custodial_rape,theft,riots,year,auto_theft,causing_death_by_negligence,kidnapping_abduction,dacoity,cheating,murder,criminal_breach_of_trust,other_ipc_crimes,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,location
ANDHRA PRADESH,ADILABAD,50,30,175,41,17,0,199,78,2001,22,181,46,9,104,101,16,1518,16,149,"ANDHRA PRADESH,ADILABAD"
ANDHRA PRADESH,ANANTAPUR,23,69,154,16,1,0,366,168,2001,57,270,53,8,65,151,11,754,7,118,"ANDHRA PRADESH,ANANTAPUR"
ANDHRA PRADESH,CHITTOOR,27,38,186,14,2,0,723,156,2001,164,404,59,4,209,101,33,1262,14,112,"ANDHRA PRADESH,CHITTOOR"
ANDHRA PRADESH,CUDDAPAH,20,23,57,4,1,0,173,164,2001,36,233,25,1,37,80,12,1181,17,126,"ANDHRA PRADESH,CUDDAPAH"
ANDHRA PRADESH,EAST GODAVARI,23,41,247,25,1,0,1021,70,2001,150,431,49,4,220,82,50,2313,12,109,"ANDHRA PRADESH,EAST GODAVARI"
ANDHRA PRADESH,GUNTAKAL RLY.,0,0,0,2,0,0,162,1,2001,0,4,0,5,0,3,0,104,0,1,"ANDHRA PRADESH,GUNTAKAL RLY."
ANDHRA PRADESH,GUNTUR,54,43,378,59,2,0,1122,244,2001,171,369,82,16,300,182,67,2426,7,139,"ANDHRA PRADESH,GUNTUR"
ANDHRA PRADESH,HYDERABAD CITY,37,0,746,67,7,0,2792,65,2001,1128,409,80,13,1293,111,101,1512,24,118,"ANDHRA PRADESH,HYDERABAD CITY"
ANDHRA PRADESH,KARIMNAGAR,56,33,224,50,6,0,392,220,2001,54,322,67,27,243,162,25,1726,62,414,"ANDHRA PRADESH,KARIMNAGAR"
ANDHRA PRADESH,KHAMMAM,47,73,172,13,1,0,368,153,2001,34,209,41,1,130,93,35,1450,17,180,"ANDHRA PRADESH,KHAMMAM"
ANDHRA PRADESH,KRISHNA,37,62,265,15,0,0,478,70,2001,27,268,36,3,104,65,24,862,10,208,"ANDHRA PRADESH,KRISHNA"
ANDHRA PRADESH,KURNOOL,29,5,92,22,4,0,297,84,2001,6,292,47,6,126,133,6,1401,13,141,"ANDHRA PRADESH,KURNOOL"
ANDHRA PRADESH,MAHABOOBNAGAR,59,0,69,27,26,0,316,157,2001,33,280,42,8,84,157,22,2158,14,176,"ANDHRA PRADESH,MAHABOOBNAGAR"
ANDHRA PRADESH,MEDAK,35,37,192,26,12,0,286,100,2001,36,335,26,27,87,101,17,454,26,100,"ANDHRA PRADESH,MEDAK"
ANDHRA PRADESH,NALGONDA,35,72,214,28,1,0,318,220,2001,43,432,27,6,122,122,13,1781,31,188,"ANDHRA PRADESH,NALGONDA"
