Sl No ,REGISTERED DISTRICT ,Registered PS ,FIR No. ,TRANSFERRED DISTRICT ,Transferred PS ,Re registered FIR No. ,Reason for transferring FIR 
,,,,,,,
1,AGRA ,KOTWALI ,7002/2017 ,ETAH ,JALESAR ,7001/2017 ,घटना स्थल थाना जलेसर एटा का होने के कारण प्राथमिकी स्थानान्तरण की जाती है 
,,,,,,,
2,,PINAHAT ,0027/2017 ,,TAJGANJ ,0681/2017 ,घटना स्थल के आधार पर 
,,,,,,,
,,,,AGRA ,,,
,,,,,,,
3,RAKABGANJ ,0257/2014 ,,NAI-KI-MANDI ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
4,RAKABGANJ ,0053/2015 ,,TAJGANJ ,,थाना ताजगंज के अन्य िुकद्दिे िें सिाहहत ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
5,RAKABGANJ ,0304/2015 ,,SHAHGANJ ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
6,RAKABGANJ ,0321/2015 ,,MAHILA THANA ,,िािला िहहला उत्पीडन से सम्बन्न्धत होने के कारण ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
7,RAKABGANJ ,0031/2016 ,,SHAHGANJ ,,हि0 08.02.16 िुताबबक डाकवही ररपोटट ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
8,RAKABGANJ ,0094/2016 ,,MADAN MOHAN GATE ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
9,RAKABGANJ ,0148/2016 ,,SIKANDARA ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
10,RAKABGANJ ,0167/2016 ,,SADAR BAZAR ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
11,RAKABGANJ ,0200/2016 ,,SIKANDARA ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
12,RAKABGANJ ,0207/2016 ,,NEW AGRA ,,घटना स्थल के आधार पर ,
,,,,,,,
,,,AGRA ,,,,
,,,,,,,
13,,RAKABGANJ ,0327/2016 ,AGRA ,SADAR BAZAR ,,उक्त िुकद्दिा थाना सिर के ि0ु अ0स0ं 1021/16 धारा 379 भािबव व 1049/16 धारा 379 भािबव से सम्बंमधत है 
,,,,,,,
14,,RAKABGANJ ,0359/2016 ,,JAGDISHPURA ,,घटना स्थल के आधार पर 
,,,,,,,
,,,,AGRA ,,,
,,,,,,,
