Sl No,REGISTERED DISTRICT,Registered PS,FIR No.,TRANSFERRED DISTRICT,Transferred PS,Re registered FIR No.,Reason for transferring FIR,Location,Latitude,Longitude
30,ETMADPUR,HATHRAS,0401/2015,HATHRAS KOTWALI,,अमभयोग का संबन्ध थाना हाथरस कोतवाली से होने के कारण श्रीिान् वररष्ठ पुमलस अधीक्षक िहोिय के आिेशानुसार बववेचना स्थानान्तररत,,"ETMADPUR ,HATHRAS ",27.5980718,78.0492265
34,CHHARRA,ALIGARH,0144/2015,GANGIRI,,घटनास्थल थाना गंगीरी से सम्बंमधत होने के कारण,,"CHHARRA ,ALIGARH ",27.925143,78.401997
35,ATRAULI,ALIGARH,0628/2015,CHHARRA,0041/2016,वािी और प्रमतवािी िोनों छराट के रहने वाले है।,,"ATRAULI ,ALIGARH ",28.0305378,78.285805
36,BANNADEVI,ALIGARH,0381/2015,DELHI GATE,,उच्चामधकारीगण के आिे शानुसार,,"BANNADEVI ,ALIGARH ",27.8986076,78.0523548
37,BANNADEVI,ALIGARH,0382/2015,DELHI GATE,,घटनास्थल थाना िेहलीगेट से सम्बन्न्धत,,"BANNADEVI ,ALIGARH ",27.8986076,78.0523548
38,BANNADEVI,ALIGARH,0393/2015,DELHI GATE,,घटनास्थल थाना िेहलीगेट से सम्बन्न्धत होने के कारण,,"BANNADEVI ,ALIGARH ",27.8986076,78.0523548
39,BANNADEVI,ALIGARH,0317/2016,LODHA,,िुलन्जि का थाना लोधा िें पकडे जाना,,"BANNADEVI ,ALIGARH ",27.8986076,78.0523548
40,BANNADEVI,ALIGARH,0320/2016,SASNI GATE,,घटना स्थल थाना सासनी गेट का पाया गया।,,"BANNADEVI ,ALIGARH ",27.8986076,78.0523548
41,BANNADEVI,ALIGARH,0434/2016,GANDHI PARK,,घटना स्थल थाना गााँधी पाकट,,"BANNADEVI ,ALIGARH ",27.8986076,78.0523548
42,BANNADEVI,ALIGARH,0435/2016,GANDHI PARK,,घटना स्थल गााँधी पाकट का होना,,"BANNADEVI ,ALIGARH ",27.8986076,78.0523548
43,SASNI GATE,ALIGARH,7003/2017,GABHANA,,सहवन िसु रे थाने पर िे िेने का कारण,,"SASNI GATE ,ALIGARH ",27.863984,78.067374
44,SASNI GATE,ALIGARH,7004/2017,GABHANA,,सहवन िसु रे थाने िें जिा होना,,"SASNI GATE ,ALIGARH ",27.863984,78.067374
45,BANNADEVI,RAMPUR,0398/2016,MILAK,,घटनास्थल मिलक जनपि रािपुर का होने के कारण,,"BANNADEVI ,RAMPUR ",28.798299,79.0220287
47,CIVIL LINES,ALLAHABAD,0759/2014,DHOOMANGANJ,,मचक 759/14 अ0स0ं 812/14 सहायक पुमलस अधीक्षक/क्षेत्रामधकारी नगर हितीय इलाहाबाि हिनांक 17.12.2014 को थाना धिू नगंज आवंहटत हकया गया,,"CIVIL LINES ,ALLAHABAD ",25.4529334,81.8348882
48,CIVIL LINES,ALLAHABAD,0298/2015,CANTT,,सहायक पुमलस अधीक्षक/क्षेत्रामधकारी नगर हितीय जनपि इलाहाबाि के आिेश से बववेचना हिनांक 31.5.15को थाना कैण्ट को आंवहटत हकया गया है ।,,"CIVIL LINES ,ALLAHABAD ",25.4529334,81.8348882
49,CIVIL LINES,ALLAHABAD,0471/2015,MEJA,,वररष्ठ पुमलस अधीक्षक इलाहाबाि के आिेश संख्या वाचक /SSP/A71/2016 हिनांक 22.1.2016 के िारा बववेचना थाना िेजा को स्थानान्तररत हकया गया ।,,"CIVIL LINES ,ALLAHABAD ",25.4529334,81.8348882
50,CIVIL LINES,ALLAHABAD,2170/2015,CANTT,,वररष्ठ पुमलस अधीक्षक इलाहाबाि के आिेश संख्या वाचक /SSP/A71/2016 हिनांक 12.5.2016 को थाना कै ण्ट को आवंहटत हकया गया ।,,"CIVIL LINES ,ALLAHABAD ",25.4529334,81.8348882
51,CIVIL LINES,ALLAHABAD,0329/2016,KHULDABAD,,िुकििा से सम्बन्न्धत िाल बराििी के कारण थाना खल्ु िाबाि को बववेचना स्थानान्तरण की गई,,"CIVIL LINES ,ALLAHABAD ",25.4529334,81.8348882
52,CIVIL LINES,ALLAHABAD,0146/2017,CANTT,0176/2017,घटना स्थल थाना कैण्ट का होने के कारण,,"CIVIL LINES ,ALLAHABAD ",25.4529334,81.8348882
53,HANDIA,ALLAHABAD,0261/2015,SARAI MEMREZ,,उच्च अमधकारी/ किचट ारीगण िारा बववचेना थानाध्यक्ष सरायििरेज को िी गयी है।,,"HANDIA ,ALLAHABAD ",25.3627247,82.1898703
54,KARELI,ALLAHABAD,7001/2016,KOTWALI,,घटना स्थल कोतवाली थाने का होने के कारण,,"KARELI ,ALLAHABAD ",25.429619,81.8172399
55,KHULDABAD,ALLAHABAD,0159/2015,MAHILA THANA,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है।,,"KHULDABAD ,ALLAHABAD ",25.4343685,81.8250448
56,KHULDABAD,ALLAHABAD,0318/2015,MAHILA THANA,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है।,,"KHULDABAD ,ALLAHABAD ",25.4343685,81.8250448
57,KHULDABAD,ALLAHABAD,0342/2015,KARELI,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है।,,"KHULDABAD ,ALLAHABAD ",25.4343685,81.8250448
58,KHULDABAD,ALLAHABAD,0022/2016,MAHILA THANA,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है।,,"KHULDABAD ,ALLAHABAD ",25.4343685,81.8250448
59,KHULDABAD,ALLAHABAD,0246/2016,KOTWALI,,िुकििा उपरोक्त की बववेचना सम्बन्न्धत थाना प्रभारी िहोिय के िारा की जा रही है।,,"KHULDABAD ,ALLAHABAD ",25.4343685,81.8250448
60,KHULDABAD,ALLAHABAD,0335/2016,KOTWALI,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है।,,"KHULDABAD ,ALLAHABAD ",25.4343685,81.8250448
61,KHULDABAD,ALLAHABAD,0340/2016,MAHILA THANA,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है।,,"KHULDABAD ,ALLAHABAD ",25.4343685,81.8250448
62,KHULDABAD,ALLAHABAD,0084/2017,COLONALGANJ,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है।,,"KHULDABAD ,ALLAHABAD ",25.4343685,81.8250448
63,KHULDABAD,ALLAHABAD,0246/2017,KOTWALI,,उपरोक्त बववेचना सम्बन्न्धत थाने से की जा रही है।,,"KHULDABAD ,ALLAHABAD ",25.4343685,81.8250448
64,NAWABGANJ,ALLAHABAD,0396/2015,SORAON,0508/2015,बववेचना थाना सोरांव से की जा रही है,,"NAWABGANJ ,ALLAHABAD ",25.4358011,81.846311
65,SORAON,ALLAHABAD,0155/2016,SHIVKUTI,,श्रीिान वररष्ठ् पुमलस अधीक्षक िहोिय के आिेशानुसार,,"SORAON ,ALLAHABAD ",25.6070169,81.8497567
66,DARAGANJ,ALLAHABAD,0125/2016,MAHILA THANA,,बववेचना िहहला थाना स्थानान्तररत की गयी उच्चामधकाररयों के आिे शानुसार,,"DARAGANJ ,ALLAHABAD ",25.4426551,81.8811628
67,GEORGE TOWN,ALLAHABAD,0258/2015,MAHILA THANA,0259/2015,एस. एस. पी आिेश िारा,,"GEORGE TOWN ,ALLAHABAD ",25.4518504,81.8551454
69,CANTT,MORADABAD,0405/2016,CIVIL LINES,,घटनास्थल जनपि िुरािाबाि थाना मसबवल लाइन्स होने के कारण,,"CANTT ,MORADABAD ",28.8386481,78.7733286
70,CIVIL LINES,KAUSHAMBI,0355/2015,PURAMUFTI,,िा0न्या0CJMइलाहाबाििहोियके आिेशसेबववेचनाथाना पुरािुफ्ती जनपि कौशाम्बी स्थानान्तरण हिनांक 27.6.15 को हकया गया है ।,,"CIVIL LINES ,KAUSHAMBI ",25.361054,81.4031707
71,DHOOMANGANJ,KAUSHAMBI,0343/2017,PURAMUFTI,0235/2017,बववेचना के िौरान घटना स्थल ग्राि खजआलिपुर थाना,,"DHOOMANGANJ ,KAUSHAMBI ",25.46286,81.7951054
73,TANDA,AMBEDKAR NAGAR,0038/2016,ALIGANJ,,िारा आिेश श्रीिान पुमलस अधीक्षक िहोिय अम्बेडकरनगर,,"TANDA ,AMBEDKAR NAGAR ",26.5432647,82.6645469
74,TANDA,AMBEDKAR NAGAR,0090/2016,MAHILA THANA,,िहहला थाना से सम्बन्न्धत,,"TANDA ,AMBEDKAR NAGAR ",26.5432647,82.6645469
75,ALIGANJ,AMBEDKAR NAGAR,0125/2015,MAHILA THANA,,बववेचना so िहहला थाना िारा की जारही थी,,"ALIGANJ ,AMBEDKAR NAGAR ",26.5371117,82.5740323
76,ALIGANJ,AMBEDKAR NAGAR,0000/2016,TANDA,,घटना स्थल तहसील पररषर टांडा का होने के कारण,,"ALIGANJ ,AMBEDKAR NAGAR ",26.5371117,82.5740323
77,ALIGANJ,AMBEDKAR NAGAR,0070/2016,TANDA,,वािी के अनुरोध पर,,"ALIGANJ ,AMBEDKAR NAGAR ",26.5371117,82.5740323
78,ALIGANJ,AMBEDKAR NAGAR,0000/2017,TANDA,,बववेचना कोतवाली टांडा िें प्रचमलत है व घटना स्थल कोतवाली टांडा क्षेत्र का है,,"ALIGANJ ,AMBEDKAR NAGAR ",26.5371117,82.5740323
80,SANGRAMPUR,AMETHI,0340/2017,AMETHI,,श्रीिान पुमलस अधीक्षक िहोिय के आिे शानुसार,,"SANGRAMPUR ,AMETHI ",26.3212023,81.4636018
81,BAZARSHUKUL,AMETHI,0937/2016,BAZARSHUKUL,,बववेचक के स्थानान्तरण पर चले जाने के कारण नये बववेचक को सुपुिट करने हेतु,,"BAZARSHUKUL ,AMETHI ",26.511467,81.59448
82,KAMRAULI,AMETHI,0258/2015,MOHANGANJ,,बववेचना हेतु,,"KAMRAULI ,AMETHI ",26.4965899,81.5569003
83,JAYAS,AMETHI,0110/2015,SANGRAMPUR,0510/2015,सम्बन्न्धत िुकििें का घटना स्थल थाना संग्रािपुर होने के कारण बववेचना स्थानान्तररत हकया जा रहा है,,"JAYAS ,AMETHI ",26.2661092,81.5473014
84,MUNSHIGANJ,LUCKNOW,0192/2016,MOHANLALGANJ,0339/2016,FOR INVESTIGATION,,"MUNSHIGANJ ,LUCKNOW ",26.8466937,80.946166
86,NAUGAWAN SADAT,HAPUR,0127/2015,BAHADURGARH,0236/2015,बववेचना से ज्ञात हुआ हक अमभयोग िे प्रारन्म्भक धटना स्थल थाना बहािरु गढ जनपि हापुड से प्रारम्भ हुआ। है अतः बववेचना स्थानातररत की जाती है।,,"NAUGAWAN SADAT ,HAPUR ",28.7305798,77.7758825
87,DIDOLI,MORADABAD,0323/2016,PAKBARA,0253/2017,घटनास्थल थाना पाकवाडा िुरािाबाि से सम्बन्न्धत होने के कारण बववेचना थाना पाकबाडा िुरािाबाि से ही की जायेगी,,"DIDOLI ,MORADABAD ",28.8386481,78.7733286
88,GAJRAULA,AMROHA,0561/2015,HASANPUR,,श्रीिान पुमलस अधीक्षक िहोिय िारा आिेश के उपरान्त 05/01/16 को परन्तु online हिनांक 09.03.17,,"GAJRAULA ,AMROHA ",28.8381644,78.2421812
89,GAJRAULA,AMROHA,0570/2015,MAHILA THANA,,िहहला सम्बन्न्धत अपराध होने के कारण िहहला थाना स्थानान्तरण हकया जाता है।,,"GAJRAULA ,AMROHA ",28.8381644,78.2421812
90,GAJRAULA,AMROHA,0264/2016,MAHILA THANA,,अपराध िहहला सम्बन्धी होने के कारण,,"GAJRAULA ,AMROHA ",28.8381644,78.2421812
91,HASANPUR,AMROHA,0399/2017,AMROHA DEHAT,0254/2017,घटना स्थल थाना अिरोहा िेहात अिरोहा का ग्राि हुसैनपुरा पाये जाने के कारण आिेशानुसार श्रीिान पुमलस अधीक्षक िहोिय जनपि अिरोहा के उक्त अमभयोग थाना अिरोहा िेहात अिरोहा को स्थानान्तररत हकया जाता है।,,"HASANPUR ,AMROHA ",28.7237807,78.2846303
92,NAUGAWAN SADAT,AMROHA,0282/2016,MAHILA THANA,,िहहला सम्बन्धी अपराध होने के कारण उच्चामधकारीगणो के आिे शानुसार,,"NAUGAWAN SADAT ,AMROHA ",29.0041113,78.4041297
93,RAJABPUR,AMROHA,0290/2015,GAJRAULA,0442/2016,उक्त अमभयोग का घटना स्थल गुरू नानक ढाबा गजरौला थाना गजरौला होने के कारण िुकििा उपरोक्त की बववेचना तत्काल प्रभाव से थाना गजरौला स्थानान्न्तरत की जा रही है,,"RAJABPUR ,AMROHA ",28.8366973,78.3771121
94,AMROHA DEHAT,AMROHA,0149/2015,AMROHA DEHAT,,बबिारी के कारण,,"AMROHA DEHAT ,AMROHA ",28.9051778,78.467318
95,AMROHA DEHAT,AMROHA,0196/2015,RAJABPUR,,घटना स्थल रजबपुर होने के कारण पुमलस अधीक्षक िहोिय के आिेश से,,"AMROHA DEHAT ,AMROHA ",28.9051778,78.467318
96,AMROHA DEHAT,AMROHA,0324/2015,NAUGAWAN SADAT,,उच्च अमध0गण के आिेश िारा,,"AMROHA DEHAT ,AMROHA ",28.9051778,78.467318
97,AMROHA NAGAR,AMROHA,7001/2017,DIDOLI,,श्रीिान जी उक्त प्राथमिकी का घटनास्थल थाना हडडौली जनपि अिरोहा से सम्बन्न्धत है। अतः प्राथमिकी को थाना हडडौली को प्रेबषत हकया जाता है।,,"AMROHA NAGAR ,AMROHA ",28.9051778,78.467318
