REGISTERED DISTRICT,Registered PS
ETMADPUR ,HATHRAS 
CHHARRA ,ALIGARH 
ATRAULI ,ALIGARH 
BANNADEVI ,ALIGARH 
BANNADEVI ,ALIGARH 
BANNADEVI ,ALIGARH 
BANNADEVI ,ALIGARH 
BANNADEVI ,ALIGARH 
BANNADEVI ,ALIGARH 
BANNADEVI ,ALIGARH 
SASNI GATE ,ALIGARH 
SASNI GATE ,ALIGARH 
BANNADEVI ,RAMPUR 
CIVIL LINES ,ALLAHABAD 
CIVIL LINES ,ALLAHABAD 
CIVIL LINES ,ALLAHABAD 
CIVIL LINES ,ALLAHABAD 
CIVIL LINES ,ALLAHABAD 
CIVIL LINES ,ALLAHABAD 
HANDIA ,ALLAHABAD 
KARELI ,ALLAHABAD 
KHULDABAD ,ALLAHABAD 
KHULDABAD ,ALLAHABAD 
KHULDABAD ,ALLAHABAD 
KHULDABAD ,ALLAHABAD 
KHULDABAD ,ALLAHABAD 
KHULDABAD ,ALLAHABAD 
KHULDABAD ,ALLAHABAD 
KHULDABAD ,ALLAHABAD 
KHULDABAD ,ALLAHABAD 
NAWABGANJ ,ALLAHABAD 
SORAON ,ALLAHABAD 
DARAGANJ ,ALLAHABAD 
GEORGE TOWN ,ALLAHABAD 
CANTT ,MORADABAD 
CIVIL LINES ,KAUSHAMBI 
DHOOMANGANJ ,KAUSHAMBI 
TANDA ,AMBEDKAR NAGAR 
TANDA ,AMBEDKAR NAGAR 
ALIGANJ ,AMBEDKAR NAGAR 
ALIGANJ ,AMBEDKAR NAGAR 
ALIGANJ ,AMBEDKAR NAGAR 
ALIGANJ ,AMBEDKAR NAGAR 
SANGRAMPUR ,AMETHI 
BAZARSHUKUL ,AMETHI 
KAMRAULI ,AMETHI 
JAYAS ,AMETHI 
MUNSHIGANJ ,LUCKNOW 
NAUGAWAN SADAT ,HAPUR 
DIDOLI ,MORADABAD 
GAJRAULA ,AMROHA 
GAJRAULA ,AMROHA 
GAJRAULA ,AMROHA 
HASANPUR ,AMROHA 
NAUGAWAN SADAT ,AMROHA 
RAJABPUR ,AMROHA 
AMROHA DEHAT ,AMROHA 
AMROHA DEHAT ,AMROHA 
AMROHA DEHAT ,AMROHA 
AMROHA NAGAR ,AMROHA 
BACHHRAUN ,AMROHA 
AMROHA DEHAT ,GAUTAM BUDH NAGAR 
AJITMAL ,AURAIYA 
AURAIYA ,AURAIYA 
BELA ,AURAIYA 
BELA ,AURAIYA 
BIDHUNA ,AURAIYA 
SIDHARI ,AZAMGARH 
SIDHARI ,AZAMGARH 
SIDHARI ,AZAMGARH 
SIDHARI ,AZAMGARH 
KAPTANGANJ ,AZAMGARH 
ATRAULIA ,AZAMGARH 
JEANPUR ,AZAMGARH 
JEANPUR ,AZAMGARH 
JEANPUR ,AZAMGARH 
JAHANAGANJ ,GHAZIPUR 
JEANPUR ,MAU 
JEANPUR ,GORAKHPUR 
KAPTANGANJ ,AMBEDKAR NAGAR 
BISAULI ,BADAUN 
BISAULI ,BADAUN 
ISLAM NAGAR ,BADAUN 
KOTWALI ,BADAUN 
UJHANI ,FIROZABAD 
BAGHPAT ,BAGHPAT 
CHHAPRAULI ,BAGHPAT 
GRP BALLIYA ,JAUNPUR 
GRP BALLIYA ,JAUNPUR 
GRP BALLIYA ,JAUNPUR 
GRP BALLIYA ,KANPUR CITY 
GRP BALLIYA ,KANPUR CITY 
GRP BALLIYA ,BALLIA 
GRP BALLIYA ,BALLIA 
GRP BALLIYA ,BALLIA 
BANSDEEH ,BALLIA 
BAIRIA ,BALLIA 
BAIRIA ,BALLIA 
BAIRIA ,BALLIA 
DUBHAR ,BALLIA 
DUBHAR ,BALLIA 
GRP BALLIYA ,GHAZIPUR 
GRP BALLIYA ,GHAZIPUR 
PAKARI ,BALLIA 
RASRA ,BALLIA 
SAHATWAR ,BALLIA 
GRP BALLIYA ,GHAZIPUR 
UBHAON ,BALLIA 
GRP BALLIYA ,FAIZABAD 
GRP BALLIYA ,FAIZABAD 
GRP BALLIYA ,ALLAHABAD 
GRP BALLIYA ,ALLAHABAD 
GRP BALLIYA ,ALLAHABAD 
GRP BALLIYA ,ALLAHABAD 
GRP BALLIYA ,BARABANKI 
GRP BALLIYA ,MORADABAD 
GRP BALLIYA ,MORADABAD 
GRP BALLIYA ,MAU 
GRP BALLIYA ,MAU 
GRP BALLIYA ,VARANASI 
GRP BALLIYA ,VARANASI 
GRP BALLIYA ,VARANASI 
GRP BALLIYA ,VARANASI 
GRP BALLIYA ,VARANASI 
GRP BALLIYA ,VARANASI 
GRP BALLIYA ,VARANASI 
GRP BALLIYA ,VARANASI 
GRP BALLIYA ,AMBEDKAR NAGAR 
GRP BALLIYA ,AMBEDKAR NAGAR 
GRP BALLIYA ,AMBEDKAR NAGAR 
GIRWAN ,BANDA 
BABERU ,BALRAMPUR 
SAFDARGANJ ,BARABANKI 
CANTT ,AGRA 
SUBHASH NAGAR ,BALLIA 
BAHERHI ,BAREILLY 
IZAT NAGAR ,BAREILLY 
IZAT NAGAR ,BAREILLY 
SUBHASH NAGAR ,BAREILLY 
KAPTANGANJ ,BASTI 
RUDHAULI ,BASTI 
KOTWALI ,AMBEDKAR NAGAR 
CHAURI ,JAUNPUR 
CHAURI ,JAUNPUR 
KOIRAUNA ,ALLAHABAD 
KOIRAUNA ,ALLAHABAD 
KOIRAUNA ,MIRZAPUR 
CHAURI ,VARANASI 
AURAI ,BHADOHI 
BHADOHI ,BHADOHI 
GOPIGANJ ,BHADOHI 
GOPIGANJ ,BHADOHI 
GOPIGANJ ,BHADOHI 
KOIRAUNA ,BHADOHI 
KOIRAUNA ,BHADOHI 
UNJ ,BHADOHI 
AFZALGARH ,BIJNOR 
DHAMPUR ,BIJNOR 
DHAMPUR ,BIJNOR 
SHIKARPUR ,BULANDSHAHAR 
GULAOTHI ,HAPUR 
ALI NAGAR ,ALLAHABAD 
CHAKIYA ,MIRZAPUR 
CHAKIYA ,MIRZAPUR 
SAKALDEEHA ,VARANASI 
SYED RAZA ,VARANASI 
ELIYA ,VARANASI 
KANDAWA ,VARANASI 
ALI NAGAR ,VARANASI 
ALI NAGAR ,VARANASI 
ALI NAGAR ,VARANASI 
CHANDAULI ,VARANASI 
CHANDAULI ,VARANASI 
CHANDAULI ,VARANASI 
CHANDAULI ,VARANASI 
CHANDAULI ,VARANASI 
DHINA ,VARANASI 
MUGHAL SARAI ,VARANASI 
ALI NAGAR ,CHANDAULI 
BABURI ,CHANDAULI 
CHANDAULI ,CHANDAULI 
CHANDAULI ,CHANDAULI 
DHINA ,CHANDAULI 
DHINA ,CHANDAULI 
DHINA ,CHANDAULI 
MANIKPUR ,BANDA 
PAHARI ,CHITRAKOOT 
KARVI KOTWALI NAGAR ,CHITRAKOOT 
PAHARI ,CHITRAKOOT 
PAHARI ,CHITRAKOOT 
GRP DEORIA ,BASTI 
GRP DEORIA ,BASTI 
GRP BHATNI ,BASTI 
GRP DEORIA ,GONDA 
GRP DEORIA ,GONDA 
RUDRAPUR ,DEORIA 
RUDRAPUR ,DEORIA 
RUDRAPUR ,DEORIA 
RUDRAPUR ,DEORIA 
GRP DEORIA ,DEORIA 
GRP DEORIA ,DEORIA 
GRP DEORIA ,KANPUR CITY 
GRP DEORIA ,JHANSI 
GRP DEORIA ,MIRZAPUR 
GRP BHATNI ,VARANASI 
GRP DEORIA ,MAU 
GRP DEORIA ,MAU 
GRP DEORIA ,MAU 
GRP DEORIA ,MAU 
GRP DEORIA ,MAU 
GRP DEORIA ,MAU 
GRP BHATNI ,MAU 
GRP DEORIA ,GORAKHPUR 
GRP DEORIA ,GORAKHPUR 
GRP DEORIA ,GORAKHPUR 
GRP DEORIA ,GORAKHPUR 
GRP DEORIA ,GORAKHPUR 
GRP DEORIA ,GORAKHPUR 
GRP BHATNI ,GORAKHPUR 
GRP BHATNI ,GORAKHPUR 
GRP BHATNI ,GORAKHPUR 
GRP DEORIA ,SANT KABEER NAGAR 
GRP BHATNI ,FIROZABAD 
GRP BHATNI ,LUCKNOW 
GRP BHATNI ,LUCKNOW 
MARHARA ,ETAH 
JALESAR ,ETAH 
JALESAR ,AGRA 
KOTWALI ,AGRA 
MARHARA ,AGRA 
MARHARA ,ALIGARH 
PILUA ,ALIGARH 
NAYAGAON ,FATEHGARH 
ALIGANJ ,FATEHGARH 
PILUA ,BARABANKI 
AWAGARH ,KANPUR DEHAT 
JALESAR ,HATHRAS 
MARHARA ,HATHRAS 
MARHARA ,HATHRAS 
PILUA ,KASGANJ 
